,Qoraalka,Qeybta
2511,Provide ayey kalisay waa beented eyda,Negative-Xumaan
2512,Masha allaha keep going walkey,Positive-Wanaag
2513,Waaryaahe adaa marish ka waalee guurso ,Negative-Xumaan
2514,Wax duli ah ayaa thy ee umadda ka dhex bax,Negative-Xumaan
2515,"Atoore iyo atariisho laadarna waa sameeyay waa maah maahdii 2022 oo nagu cusub 
Mahadsanid ck",Positive-Wanaag
2516,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2517,hogaamiye fiican ayaa tahay,Positive-Wanaag
2518,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadla,Neutral-Dhexdhexaad
2519,Wx lga jabsado wey dhantahy uff,Negative-Xumaan
2520,Dhib malahan mitasi lbx,Neutral-Dhexdhexaad
2521,"Xaa ck cuqdad ku jirta!!!!!!!!!!!
Waa ninka kaliya ee sheega markasta wixi lasoo dhaafay yaab walhi
Ani ahaan walahi qof lamida YouTube kuma arag.",Negative-Xumaan
2522,Iiizo bilow aa ladhaha zxbkaan,Negative-Xumaan
2523,waan kugu raac sanahy Arintaa  waa laga faidaysanaya jack waa miskiin,Positive-Wanaag
2524,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2525,Maxa laga raba maskinta,Positive-Wanaag
2526,Ninyahow khaniiskaan yaa dadka dabadhigay,Negative-Xumaan
2527,Adiga iyo Mss canada qosolka waad ka xanaqdaan,Negative-Xumaan
2528,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers Waa Codsi Wll 1k Wax yer Nooga Ndhiman Adiga Nagaasiinkaro Wll Qaliya,Neutral-Dhexdhexaad
2529,Sorry mariish illaahy hakuu soceliyo wllo,Positive-Wanaag
2530,Waa adigii tiktok waa dhaafay lahaa,Neutral-Dhexdhexaad
2531,O adi baryahan ma marish bay kga shidantahy  anyway allaha u sikhiro,Neutral-Dhexdhexaad
2532,Sxb laadarka iyo xaasidka aad shegeyso laga yaabe inaad adiga tahay anagaa niskeen dhigeey qof dadkaan waa ninaayo sakiintaadana hoos ayaad kawadataa hadal hal sano ka hor ahaa maxaa ku keentay inaad hada soo qaadato calool mariida tahay kaabo,Negative-Xumaan
2533,Wlhi marka hore waxan uheystay inuu kaxunyahay kala tagooda lkn markii uu soo qaatay hadal hal sano kahor dhex maray asaga iyo jeck xitaa ay ka heshiiye n,Neutral-Dhexdhexaad
2534,Wllhi waad ku fahantay cuqdad baa dishay ninka isagaaba kow ka ah dadkan ku faraxsan dagaalkooda,Negative-Xumaan
2535,ck wll ana jabsaday waxana joga Nairopi sxb sual kale yanaisku   imanin,Neutral-Dhexdhexaad
2536,Adiga ayaaba ka mid ah hada maxaa ka hadleysaa maba fahmin,Positive-Wanaag
2537,wax fiican halaga shaqeeyo,Negative-Xumaan
2538,Chanel ka wax ugama baahna canada ka shaqYso ,Neutral-Dhexdhexaad
2539,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2540,I hope marish gets back her channel. She didn't kill anyone. No one is perfect,Positive-Wanaag
2541,@Kayf Mohamed dad ku heysta maxaad isku badashay oo wiilka ula murantay waa sheeko cusub qof xoriyadiisa lagu heysto cidna dhicin cidna dilin,Neutral-Dhexdhexaad
2542,@Hoodo Hussein sax waxan umaleyna inay ayada kasaartey hawada se ugubadbado wazhamsida,Neutral-Dhexdhexaad
2543,hala joojiyo ciyaarta,Positive-Wanaag
2544,ilahay hala baqo,Positive-Wanaag
2545,@fos ab i am telling u beleive me,Neutral-Dhexdhexaad
2546,wanaagii oo qof ah,Positive-Wanaag
2547,@Yussuf Mohamed Allah knows best!,Positive-Wanaag
2548,@fos ab haa 100 percent,Positive-Wanaag
2549,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2550,@Kaafi Pro oo cadaa,Neutral-Dhexdhexaad
2551,Been weya attention ka iska leexin rabtaaa,Negative-Xumaan
2552,Waku faraxsanthy wara 1sano ka hor wuxu ka dhahy mxa uso qadaty hadada wax qalbiga ugu heyn ??,Neutral-Dhexdhexaad
2553,Wllka waa ku tageeraa ,Positive-Wanaag
2554,Chanalkeda ayada xeratay sida lola laban lahaa subscribe,Neutral-Dhexdhexaad
2555,1 sano kahor adi iyo manaal reaction jack ka bixiyey iyo arinkaan maxaa iska galay Aarsi miyaa waxaaga jack wa kugu hayaa cmlaaa teedakle dhiiqo lama dhihi karo tan marish maqabo waxna kama dhaxeyan afkoda kama hesid  just Isfaham waa ayaa dhacay micnahedana ma aha in lakala tagayo ralingalintana bulshada lagu qancinaa madama ee dawanayeen isfahm wagii yaraaaa,Neutral-Dhexdhexaad
2556,Isfahan xaaaaal qaado Isfahan daanyeernimo iyo danaysi gaar lagu heestay maskiinkaas,Negative-Xumaan
2557,waar dacad ha iska dhigin adigaba libin ka tirsanay ninke mida kale ma inay is qaban oy kala tageen ayuu u Haysta hhhh,Negative-Xumaan
2558,Isagaaba dabka sii hurinaya,Negative-Xumaan
2559,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2560,Free #dirisle# abdi#,Neutral-Dhexdhexaad
2561,Aniga iyo familkega aa heer igaarsiyey kulahaa anagii dhan naxaqirtay qofta,Negative-Xumaan
2562,Doqon miyaa jack garoob aadan dhacdhac ku heysanin seebuu ula jogay lkn muxuu hada isla xumeynaaa ma hambo nin ficiisa katagay buu la dhareera xoolaha,Negative-Xumaan
2563,Nio wlhi naag ayaa thy sidee u dhahee hda ayaan heshiiney qurux ku dhiigle nio raga marnaba ma noqon karaan dumar ...bitch..,Negative-Xumaan
2564,MarisH Haloo soo celiYo,Positive-Wanaag
2565,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers Waa Codsi Wll 1k Wax yer Nooga Ndhiman Adiga Nagaasiinkaro Wll Qaliya,Neutral-Dhexdhexaad
2566,Sorry marish?ÿ?,Positive-Wanaag
2567,Hubka daahsoon baa isku gumaadaysaan adi iyo dirisle adeer dhagahadalka iska daayoo caadi iskugu soo bareera.,Neutral-Dhexdhexaad
2568,@Familchanaal  diyaar waaye adna bal iskaga kay saar.,Neutral-Dhexdhexaad
2569,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2570,hhh  waa runtaa ,Positive-Wanaag
2571,Ma ila argty caadi ugu jeesejesy wlhi 13:20      13:40  waxan kuleyhy waxybaha hory udhacy isk ilow pro qof wlalka haku dhigan weliga ano kamid ah ck family,Negative-Xumaan
2572,@King Ck Films & Vlogs Kan waa mid ka dhacsan anigu hdalkisa waxba kama fahmin hore usoco bro nacabku darbiyada hajiiro,Positive-Wanaag
2573,Hadaan digasho rabo sida dadka qaar kuraaxesan lahaa aayar fadhi adeer adiga mahtihid qofka xanunka daremay,Neutral-Dhexdhexaad
2574,gabar wanaagsan,Positive-Wanaag
2575,Kibirka muxu utaray hee,Negative-Xumaan
2576,Walalha subiscreb isaare ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2577,horay u soco,Positive-Wanaag
2578,Yes team real ck fmily,Positive-Wanaag
2579,@Familchanaal diyaar la ahay,Neutral-Dhexdhexaad
2580,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2581,dagahadal from jack,Negative-Xumaan
2582,Fadlan wll waxa Allihi ku abuuray owgiis kaga Codsanaya ina subscription iyo like igu caawisid mahadsanid Sharafi korkaga ha ahato wll ,Neutral-Dhexdhexaad
2583,Ck adin mid kale thy arintaan adi manaal maxa kenay ,Neutral-Dhexdhexaad
2584,@Hassan Rashid intaas dhiqa u arka ani,Negative-Xumaan
2585,Malayaabta aarsi kale kuhoos dugan in lafahmeynin elatahay,Neutral-Dhexdhexaad
2586,Sawabta keendey ma aqani lakiin shaleydii asika xanuunkan okale marku garey mid walbo asika ayuu eeda sarayey soma ah lakiin hada asika dabcan wuxu ola kejeda anigu kuma sarayo eeda adika ee arinka dhaxdan okujira ,Neutral-Dhexdhexaad
2587,Marish hormarkeda ka fuqa,Positive-Wanaag
2588,Xoolaha tahay wase isku dira wadaa,Negative-Xumaan
2589,Iyadaa prevet gilisay,Neutral-Dhexdhexaad
2590,Keep going zxp,Positive-Wanaag
2591,Wee ku macdahay,Negative-Xumaan
2592,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2593,"REER DJIBOUTI O LAWAYDIYAY  SHARMA BOY IYO DIRISLE ABDI AYAA {1M} HORGADHAYAhttps
0://youtu.be/7U8Z5rJvs0Y.   Rectoin sxb ck",Neutral-Dhexdhexaad
2594,11:40-11:55 wa shamsi ,Negative-Xumaan
2595,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2596,Exactly ck jaaniskan dadbaa gaadayey si ay iskuugu diran 2 daan saaxibo jack iyo marish qurux Kudhigle ne ma samen karo in uu falkaas geesto marka dadbaa ka dhex shaqeynaya si ay u kala fogadaan qofka caqliga u saxibka ah un wuu fahmi karaa arinka ar maxaa run low tahy ck,Positive-Wanaag
2597,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2598,Wll horta aadbn uga xumahay inay sasi ku dhacdo wllshy lkn wll Qurux kudhigle kalia maha inay ka shikido sppto ah way jiran dd azhpteda oo garanaya Email keda Kuwana dirada ha sarto Dambina ha igu ahate,Neutral-Dhexdhexaad
2599,Walal subiscreb isaar isoboqo like,Neutral-Dhexdhexaad
2600,The one and only ck keep the legend ,Positive-Wanaag
2601,Wll Qaliya ayaa tahay,Positive-Wanaag
2602,Walal subiscreb isaar ilahey dartiis isoboqoda,Neutral-Dhexdhexaad
2603,Iyadaa ka saartay kadib markii wa shamsi lagu qaaday Garaad xogta raadi garaad,Neutral-Dhexdhexaad
2604,dadka comnts ka qora halaga cidhi walhi ma caafimaad qabaane maxaa nabiga melkasta u kenaysan scw naga fadhiya,Negative-Xumaan
2605,Inay bareefad ka dhigatay laga yaba siy indha dadka isaga jeediso,Neutral-Dhexdhexaad
2606,Qurux kudhigle ayaa jabsaday  wayo isaga aya kaa agdhawa miidka.igaa qor ck ...wllo,Negative-Xumaan
2607,Thumbnailka mxa usartay..jack,Neutral-Dhexdhexaad
2608,Runta ka hadashy ck waku wadanaa keep it ,Positive-Wanaag
2609,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2610,Sas waye legend,Positive-Wanaag
2611,Wr hdii la rapo asaa jabsade canada buu rapaa inuu orod uga keeno,Neutral-Dhexdhexaad
2612,Ar CK yaa mid ma ahn,Positive-Wanaag
2613,Kolay labada qofba caro baa kamiiqatay,Neutral-Dhexdhexaad
2614,isku dirka jooji sxp qurux ku dhiigle wax ba majabsane mise marish baad isku wadaa  maal mahan danbe  maresh baan jecelahay,Neutral-Dhexdhexaad
2615,Ck english kaan al abaadir maa naga deeysid sxboow,Neutral-Dhexdhexaad
2616,King ck keep going my bro culeeska iyo isha bini Aadanka alle hakaqabto bro,Positive-Wanaag
2617,miskin alaha uso celiyo,Positive-Wanaag
2618,Ck wxaan ku daawanaaye ayadoo youtuber kle oo soomali ah usan jirin barnaamishkii adiga iyo caska iyo yarkii rer xamarka ahaa ee gottalantiga ahaaa,Neutral-Dhexdhexaad
2619,"Wllhi Gob baa Tahay king ck Qalbi saliim 
Waligaa number one ahaw guuleyso brother ?ƒ½??ƒÅ??ƒÖÅ",Positive-Wanaag
2620,@Familchanaal  Thanks wnkusaray,Positive-Wanaag
2621,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2622,Aniga hawada ka saaray,Negative-Xumaan
2623,Can waa runtaa dad baa kadabeyaa,Positive-Wanaag
2624,HadaL afka ka so baxa waxa ugu wangsan saliga xabiibkeena csw,Positive-Wanaag
2625,Dirisle lee ku dhago hadloyza waan fahany zheekada meezhay u zocoto ,Negative-Xumaan
2626,Darisle mku wasaa cid ka hdshy malahane,Negative-Xumaan
2627,I love Allah,Positive-Wanaag
2628,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2629,Xiriir jecel inu kadhexeeyo ya ku sheegay adga!?,Neutral-Dhexdhexaad
2630,Legend si xaqiiq eh oo raganimo leh baa uga hadashay,Positive-Wanaag
2631,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2632,gabadha halaga leexdo,Positive-Wanaag
2633,marirish waa qof fiican,Positive-Wanaag
2634,@King Ck Films & Vlogs duurka dayniilan gabar kaaga keenaa ina adeer hhh,Neutral-Dhexdhexaad
2635,?Çï@King Ck Films & Vlogs nio mida aan caanta aheen dhibkee leedahy intaa caan kasoo dhigtee kugu kibree ,Neutral-Dhexdhexaad
2636,Naag caan ah ha iga sugin sxb ,Neutral-Dhexdhexaad
2637,beenta jooji lama jabsan,Negative-Xumaan
2638,Iyada hawada ka saartay si aan subscribe ka lagala noqon waayo hoos ayuu u socday it's my opinion,Negative-Xumaan
2639,Canada ?ƒç¿?ƒçª  haka saarto quruxey,Negative-Xumaan
2640,First love saar,Neutral-Dhexdhexaad
2641,Gadaal maxad qurux ku dhiigle maxad ugasoo qadatay walee wax ma ilowdid,Neutral-Dhexdhexaad
2642,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2643,Zxp Wax Baan Fahmay ?ƒ½í,Neutral-Dhexdhexaad
2644,Xaasid ilahay hancdalo,Negative-Xumaan
2645,That's what we want sxb,Positive-Wanaag
2646,Walal subiscreb isaar isoboqo like,Neutral-Dhexdhexaad
2647,Wllhi marish waa qof fiican allow usoo celi gawadheena,Positive-Wanaag
2648,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2649,Wlh adan ujeclahay in ey Isla jogan,Positive-Wanaag
2650,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribe,Neutral-Dhexdhexaad
2651,Ck macquul matahay inay kala fogaantodu ay sabab utahay ck iyo ayuub karlo,Neutral-Dhexdhexaad
2652,Saxwaye,Positive-Wanaag
2653,diridle ayaa kajabsaday  marish ,Negative-Xumaan
2654,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2655,hhhhhh hadaan daawaday asagoo duraya maarish,Negative-Xumaan
2656,The legend himself ck  keep up sxb 2m coming soon  dadkan waa iska daaweynaa hadanu nahay ck family ,Positive-Wanaag
2657,Bro Canada aa wax wayn lanoqotey gabarta waa joognaa canada wax yaalana malaha nin kaas ragga ah oo sxbkeyd ahaa si xun bey ugashey shame on her bro waxaanba kuxasuustey will smith iyo chris rock dharbaaxadii oo kale waa fadeexo,Negative-Xumaan
2658,Alla dadka runta way nacebyhin war marku dhahayo jikada hore niarobi waqasa bay ahan jirte tan natus mawaysan aflagado aheen,Neutral-Dhexdhexaad
2659,Hooyadaa  allha barakeeyo,Positive-Wanaag
2660,Waxad ku soo uruurtay No Talent,Negative-Xumaan
2661,Majiro qof ka dabeecad wanagsan Nebi muxammad scw,Neutral-Dhexdhexaad
2662,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers Waa Codsi Wll 1k Wax yer Nooga Ndhiman Adiga Nagaasiinkaro Wll Qaliya,Neutral-Dhexdhexaad
2663,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2664,Respect lagend ck,Positive-Wanaag
2665,Walal subiscreb isaar isoboqo like,Neutral-Dhexdhexaad
2666,qofka isaga oo Emialkaga aqoon ayuu dhulka kula gali kartaa qaabab kala duwan Kolba raga qaar wey ifahmayaan Ciyaar informatic,Neutral-Dhexdhexaad
2667,"Qofta yadaa private galizay 
Team wazhamzi cabzi cabzi wlhie",Negative-Xumaan
2668,Ayadaa qarsatay sbscrpt laga boobay,Negative-Xumaan
2669,Ayda qarsatay lakiin marki ey so labato ayaa laga xayubinya shacabka qof lo gafa ma ogola,Negative-Xumaan
2670,@Familchanaal abyo ilaahy dartisa kuga sary,Neutral-Dhexdhexaad
2671,Private Maxaa Ah Kkkk YouTube private Lama Gelin Karo ,Neutral-Dhexdhexaad
2672,@THE HUMBLE GUY Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribe,Neutral-Dhexdhexaad
2673,Kanoo kalaa dadka ku jiro oo miskaxda illahay ka gadiyay mugdi aa tahay wlhi iftiinaa u baahntahy,Negative-Xumaan
2674,Walal subiscreb isaar ilahey dartiis isoboqoda like,Neutral-Dhexdhexaad
2675,Mss Canada ?ƒç¿?ƒçª  waxba ku dhacay,Neutral-Dhexdhexaad
2676,Wllky nolow geesi from hargeisa,Positive-Wanaag
2677,ck hangu soo dhisin wxa yar way kibir bdanthy nio,Negative-Xumaan
2678,Ck aqliga ilahay hakubarakeeyo bro,Positive-Wanaag
2679,?Çdaaba kaa shakiyey nio,Negative-Xumaan
2680,Mashallaaah sister,Neutral-Dhexdhexaad
2681,Salalahu caleyhi wasalm,Neutral-Dhexdhexaad
2682,Shukrn wl,Positive-Wanaag
2683,Iso qawo Labrka iso dir please qurux ,Neutral-Dhexdhexaad
2684,Wlhi ck fikirkga waa sax,Positive-Wanaag
2685,Aniga ayaana hawada ka bixiyey cid wax ka badalesana ma jirto King of social media,Negative-Xumaan
2686,Waxan so xasuste hesti aheyd Canada markad takaty kibir bad bilawday hhhhhhhh anwey no comment,Neutral-Dhexdhexaad
2687,Marish ciwankeeda Allaha u soceliyo masakiinta wlhi wan kaxumahay wayo qof waxey inbadan juhdi dadaal iyo waqti kubicineysay mudoyar kuweyso wadhiban laqayaasi karin abayo ilahey haku soceliyo ciwankada macanto ,Positive-Wanaag
2688,iyada xidhatay sidan is leayahy waayo dadki ba subscribeka kala noqday marka hawaday ka yara saarty inty xaladu degayso,Neutral-Dhexdhexaad
2689,@Maxamed Awliyo Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2690,@Anas Mahamed Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2691,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2692,@Maxamed Awliyo aztaqfurulaah,Neutral-Dhexdhexaad
2693,Daa halaga jabsadee shuupada weji ma lahee,Negative-Xumaan
2694,Marish waa qof fcn ma ahan,Negative-Xumaan
2695,Walal subiscreb isaar ilahey dartiis isoboqoda like,Neutral-Dhexdhexaad
2696,Dhiladaas halaka jabsado dhaaf,Negative-Xumaan
2697,Mx ka haleysey wll mcn,Neutral-Dhexdhexaad
2698,Wan rabayba in laga jabsado,Negative-Xumaan
2699,Amiin iyo qurux kudhiiglow inanta janalkeeda usooceliya,Neutral-Dhexdhexaad
2700,Aqalaqda sobaro markahore,Positive-Wanaag
2701,Wlhi ck been mahan dadbaa isku diri rabo marish iyo qurux ku dhiigle sorry wlhi wxa dhacayo,Neutral-Dhexdhexaad
2702,Wxn waa pranki wan arkaa inay nagu dheelayan ee ciyaarta naga daya filmkaa aad zoozii zhidayzan,Negative-Xumaan
2703,Walal subiscreb isaar isoboqo like,Neutral-Dhexdhexaad
2704,Jac amu ka jabsadey,Neutral-Dhexdhexaad
2705,Ck 2M Incha-Allah noo gaar,Positive-Wanaag
2706,Waa lagu saxan yahay in lagayabsado baasta rada,Negative-Xumaan
2707,Allah dartis subscribe iso sar,Neutral-Dhexdhexaad
2708,hogaamiye ayaa tahay,Positive-Wanaag
2709,Nio zhp   waxaa larabaa in la isku diro   runtii labadooda,Negative-Xumaan
2710,yan la waalin,Positive-Wanaag
2711,walaal wanaagsana ayaa tahay,Positive-Wanaag
2712,Dad ale haka baqaan,Positive-Wanaag
2713,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2714,Subxaanalaah  Waa matkii Labaad lagasaarey Toutubka Marisha,Neutral-Dhexdhexaad
2715,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2716,Sher ii same sxp YouTube kayga,Neutral-Dhexdhexaad
2717,Sorry Haday waxn Run yihiin,Positive-Wanaag
2718,queen tree dheys Canada ?ƒç¿?ƒçª waa qiyaa noley ,Negative-Xumaan
2719,taas aa been aheyn,Neutral-Dhexdhexaad
2720,Legend always legend,Positive-Wanaag
2721,"Kibirka waalagu jabaa
Haku tusaalo qaadato tanoo kale iyo dadka sankaas ka hadla
Jack waa wadanada",Negative-Xumaan
2722,@Safaa Nuur haa quruxe nafsi aa kasoo baxe iyo islawayni Allah usoo caliyo ciwaankeda,Negative-Xumaan
2723,@Safaa Nuur tusaale haku qaadato,Neutral-Dhexdhexaad
2724,@Fate boy tusaale ayay utahay Iska dhaf,Neutral-Dhexdhexaad
2725,Hhhhh somalida marish washamsi ku qaden,Neutral-Dhexdhexaad
2726,Ck sxb iyada santaag bilowday kibirleyda,Negative-Xumaan
2727,Ayadanna halawayo dofarta,Negative-Xumaan
2728,war qoftaas Canada joogtaa YouTube laga jabsaday waxba mhn,Neutral-Dhexdhexaad
2729,Canada ceeb malahan,Positive-Wanaag
2730,Anaa kucuna,Negative-Xumaan
2731,Hh  danbigiiyo  qof ah,Negative-Xumaan
2732,Yaan dadka leysku dirin,Positive-Wanaag
2733,@Aisha Cayush xumaanta halaga fogaado,Positive-Wanaag
2734,Wll Qaliya ilahay ka baqa,Positive-Wanaag
2735,Zxpkeen horay u soco,Positive-Wanaag
2736,Walal subiscreb isaar ilahey dartiis isoboqoda like,Neutral-Dhexdhexaad
2737,iaamina waxaa jabsaty naagteyda,Negative-Xumaan
2738,Cabsi cabdsi raga Africa jooga ,Negative-Xumaan
2739,Walal subiscreb isaar isoboqo l,Neutral-Dhexdhexaad
2740,Ck legend ,Positive-Wanaag
2741,Waan  Dareemi karnaa dhibta at leedhay marka chanel aad intaas waqti soo galinaysay lagaa dhibaateeyo Waan kula jirnaa Walaasheen macaan marish beauty ,Positive-Wanaag
2742,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2743,Walal subiscreb isaar ilahey dartiis isoboqoda like,Neutral-Dhexdhexaad
2744,Mac bay ku tahay kkkkk,Negative-Xumaan
2745,Allow dadkii isku dhiraya goranta ku daji waan jeclaa jeck iyo marish iyo amiin dad aan naftayda kajeclahay wada jira waan idinwataa,Negative-Xumaan
2746,@quen xanan QOF  JAHILA LAHADLAYSA WLL ,Negative-Xumaan
2747,"Abaayo naftaada jeclow social media dadka ku shaqeysto kabahooda kama yaqanaan Allah Ayan jecllahay Nabi mohamed Ayan jecllhay s,cw",Negative-Xumaan
2748,Nafta maa ka jeceshahay dad ku aqoon maxa kaso galaayo marka wax ku anfacaayo ku sheega allah jeclaaw iyo quraanka rasuulka scw,Neutral-Dhexdhexaad
2749,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2750,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2751,Labo mid waa amin mise gabdhib zaxibada ahan jireyn waye iga qoraa guyz,Neutral-Dhexdhexaad
2752,Hayey hhhh amin miskiin weye,Positive-Wanaag
2753,Somaali kuarag wa inkaar wlhi ,Negative-Xumaan
2754,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers Waa Codsi Wll 1k Wax yer Nooga Ndhiman Adiga Nagaasiinkaro Wll Qaliya,Neutral-Dhexdhexaad
2755,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2756,Waraa ck shuwadas hanaga soo dhisin wey ka macdahy,Negative-Xumaan
2757,Wxan prank amy yihiiin,Negative-Xumaan
2758,Walal subiscreb isaar isoboqo,Positive-Wanaag
2759,Ani sheekada marish iyo qurux ku dhiigle musalsal ila tahay somalida caqli yariista loo jilaa ,Neutral-Dhexdhexaad
2760,Waxba qaldan  lkn meesha,Positive-Wanaag
2761,Aniga xataa prngi ila tahy somli lma aamino karo,Neutral-Dhexdhexaad
2762,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers Waa Codsi Wll 1k Wax yer Nooga Ndhiman Adiga Nagaasiinkaro Wll Qaliya,Neutral-Dhexdhexaad
2763,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2764,Maanta yaa iga horeeya,Neutral-Dhexdhexaad
2765,Legenow qofta accountigeda uso celi ,Neutral-Dhexdhexaad
2766,Walal subiscreb isaar ilahey dartiis isoboqoda like sher fadlan,Neutral-Dhexdhexaad
2767,Wax.walba waxa ka macaan Qur.aanka Aleh yaa igu raacsan,Positive-Wanaag
2768,Anaa kuu bilaawayo pro,Neutral-Dhexdhexaad
2769,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2770,Wll dar Ilaahey iigu saar subscribe,Neutral-Dhexdhexaad
2771,Yes saas aa rabaa couse weeba is wey neysay kii dad ka dhigay ay dugaag moodey nin abaal kalo badan lkn nin kudaa yar,Neutral-Dhexdhexaad
2772,Walal subiscreb isaar isoboqo like,Neutral-Dhexdhexaad
2773,Jack sxb ninkaas abaal kiisa way garan waydy wayna uqalantaa in hwada laga saaro,Negative-Xumaan
2774,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Neutral-Dhexdhexaad
2775,Allhamduillh hadii laga jabsade,Negative-Xumaan
2776,Marish beuty khalad wayn ayey samysay shp qaliya ayey haystay oo dadku wada haysan hadana markay canada tagtay ayey dhabrka ka toogatay si Aad u xun bay ula hadshay lkn sidaas o tahy manu rabine in marish chanlkeeda in hawda laga saaryo lkn marish imkaba way haysaa nabsigii,Negative-Xumaan
2777,Sax ixtiraamdaro ayay uhadlaysay waliba dadka wey ku jeesjeesty,Negative-Xumaan
2778,Anaa jabsaday yaa wx iga qawan karo,Negative-Xumaan
2779,@Ayaan Ayaancabdishugriaswaan telkaga iga ilasho qof yhy,Negative-Xumaan
2780,Isug waxyar  kkkk,Neutral-Dhexdhexaad
2781,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribers,Neutral-Dhexdhexaad
2782,No views ayan dawaday maxan u qalma,Neutral-Dhexdhexaad
2783,Walal albab kastoo oo ka Xi'an Allah hakuu furo muragadana farxad hakuugu badalee fadlan 200 subscribe ah iigaadhsiiya ,Neutral-Dhexdhexaad
2784,Wllhi caawa Odhan waanyaabanaa,Neutral-Dhexdhexaad
2785,Bisinka waalhi waa ka naxay ,Neutral-Dhexdhexaad
2786,Walal subiscreb isaar ilahey dartiis isoboqoda like sher,Neutral-Dhexdhexaad
2787,Wll dar Ilaahey iigu saar subscribe,Neutral-Dhexdhexaad
2788,Waykuficanthy,Negative-Xumaan
2789,Cabsi cabsi waaye,Negative-Xumaan
2790,Waan rumaYnaY waana aaminay waliba aniga oo aanan arag nabi muxamed scw,Positive-Wanaag
2791,Wll Qaliya Hadey  Macqulthy Sooboqo Ee Iidhe Subscribe,Neutral-Dhexdhexaad
2792,Walal subiscreb isaar ilahey dartiis isoboqo,Neutral-Dhexdhexaad
2793,Wll dar Ilaahey iigu saar subscribe,Neutral-Dhexdhexaad
2794,Wa jesjeeskii qurux ku dhiglee pa sababay. Ayaa iracsan,Negative-Xumaan
2795,Gabarta eda u ahye wan ka xumahay walahi,Positive-Wanaag
2796,Ma qaldame waa ilaahey walalaheen aan heshiisino xaalad dumar iney ku jirta laga yaba marish markay hadleysey live ka ,Positive-Wanaag
2797,Walal subiscreb isaar isoboqo,Neutral-Dhexdhexaad
2798,Ma meelaha ayay ka muujineysaa marka that's not excuse,Neutral-Dhexdhexaad
2799,Mxaa ka faaidaynaa marka,Neutral-Dhexdhexaad
