title,company,location,posted,url
"Partnerships Specialist, Mogadishu, Somalia",United Nations Office for Project Services (UNOPS) ,"Mogadishu, Somalia"," December 21, 2023",https://qaranjobs.com/job/partnerships-specialist-mogadishu-somalia/
"Protection Programme Development Manager Somalia (Somali Nationals Only), Somalia",Norwegian Refugee Council (NRC) ,Somalia," December 21, 2023",https://qaranjobs.com/job/protection-programme-development-manager-somalia-somali-nationals-only-somalia/
"Finance Assistant, Beledweyne, Somalia",Islamic Relief Somalia ,"Beledweyne, Somalia"," December 21, 2023",https://qaranjobs.com/job/finance-assistant-beledweyne-somalia-5/
"Temporary HR/Admin officer, Adado, Galmudug, Somalia",Save the Children ,"Adado, Galmudug, Somalia"," December 21, 2023",https://qaranjobs.com/job/temporary-hr-admin-officer-adado-galmudug-somalia/
"Project Environmental Safeguards Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-environmental-safeguards-specialist-hargeisa/
"Financial Management Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/financial-management-specialist-hargeisa-2/
"Project GBV Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-gbv-specialist-hargeisa/
"Project Monitoring, and Evaluation Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-monitoring-and-evaluation-specialist-hargeisa/
"Project Procurement Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-procurement-specialist-hargeisa/
"Project Coordinator Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-coordinator-specialist-hargeisa/
"Project Social Safeguards Specialist, Hargeisa",Government Of Somaliland (GoSL) ,Hargeisa," December 21, 2023",https://qaranjobs.com/job/project-social-safeguards-specialist-hargeisa/
"Somali tenders published today on Qaranjobs (Wednesday, December 20, 2023)",QaranJobs - Somali Tenders ,Somalia," December 20, 2023",https://qaranjobs.com/job/somali-tenders-published-today-on-qaranjobs-wednesday-december-20-2023/
"Summary of Somali jobs published today on Qaranjobs: Somali Jobs (Wednesday, December 20, 2023)",QaranJobs - Somali Jobs ,Multiple Locations," December 20, 2023",https://qaranjobs.com/job/summary-of-somali-jobs-published-today-on-qaranjobs-somali-jobs-wednesday-december-20-2023/
"Tender for Purchase of Sanitation Tools, Baidoa, Somalia",Wadajir Rural Development Organization (WARDO) ,"Baidoa, Somalia"," December 20, 2023",https://qaranjobs.com/job/tender-for-purchase-of-sanitation-tools-baidoa-somalia/
"TERMS OF REFERENCE (TOR) FOR INDIVIDUAL CONSULTANCY FOR AN ECONOMIC INCLUSION SPECIALIST TO SUPPORT THE BAXNAANO PROGRAM, Somalia",Federal Republic of Somalia - MoLSA ,Somalia," December 20, 2023",https://qaranjobs.com/job/terms-of-reference-tor-for-individual-consultancy-for-an-economic-inclusion-specialist-to-support-the-baxnaano-program-somalia/
"Asset Management Assistant (1 Position), Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," December 20, 2023",https://qaranjobs.com/job/asset-management-assistant-1-position-mogadishu-somalia/
"Finance Specialist (UNOPS Internal Candidates Only), Mogadishu, Somalia",United Nations Office for Project Services (UNOPS) ,"Mogadishu, Somalia"," December 20, 2023",https://qaranjobs.com/job/finance-specialist-unops-internal-candidates-only-mogadishu-somalia/
"Re-advert: Senior Project Manager, Multiple Positions, Somalia",United Nations Office for Project Services (UNOPS) ,Somalia," December 20, 2023",https://qaranjobs.com/job/re-advert-senior-project-manager-multiple-positions-somalia/
"MEAL and Client Safeguarding Manager, Dhusamareeb, Somalia",International Rescue Committee (IRC) ,"Dhusamareeb, Somalia"," December 20, 2023",https://qaranjobs.com/job/meal-and-client-safeguarding-manager-dhusamareeb-somalia/
"High-Risk Population Focal Person (HRP): 2 Positions (Baidoa & Kismayo), Somalia",World Health Organization (WHO) ,"Baidoa & Kismayo, Somalia"," December 20, 2023",https://qaranjobs.com/job/high-risk-population-focal-person-hrp-2-positions-baidoa-kismayo-somalia/
"Driver, Baidoa, Somalia",International Organization for Migration (IOM) ,"Baidoa, Somalia"," December 20, 2023",https://qaranjobs.com/job/driver-baidoa-somalia-4/
"ICLA Paralegal, Luuq, Somalia",Norwegian Refugee Council (NRC) ,"Luuq, Somalia"," December 20, 2023",https://qaranjobs.com/job/icla-paralegal-luuq-somalia/
"Radiographer, Burao, Somaliland",Horyaal Hospital ,"Burao, Somaliland"," December 20, 2023",https://qaranjobs.com/job/radiographer-burao-somaliland/
"EXPRESSION OF INTEREST- EXTERNAL AUDIT SERVICES, Somalia & Somaliland",Plan International ,Somalia & Somaliland," December 20, 2023",https://qaranjobs.com/job/expression-of-interest-external-audit-services-somalia-somaliland/
Somali Jobs at CARE International (7 Positions),CARE International ,Multiple Locations," December 20, 2023",https://qaranjobs.com/?post_type=job_listing&p=29277
"Somali jobs expiring today (Wednesday, December 20, 2023), Apply Soon",QaranJobs - Somali Jobs ,Somalia," December 20, 2023",https://qaranjobs.com/?post_type=job_listing&p=29249
"WASH & Shelter Project Manager (Internal Somali Only), Puntland, Somalia",Norwegian Refugee Council (NRC) ,"Puntland, Somalia"," December 20, 2023",https://qaranjobs.com/job/wash-shelter-project-manager-internal-somali-only-puntland-somalia/
"Procurement Associate, Mogadishu, Somalia",United Nations Development Programme (UNDP) ,"Mogadishu, Somalia"," December 20, 2023",https://qaranjobs.com/job/procurement-associate-mogadishu-somalia-3/
"Program Assistant (Public Information), Mogadishu, Somalia",Committed To Good (CTG) ,"Mogadishu, Somalia"," December 20, 2023",https://qaranjobs.com/job/program-assistant-public-information-mogadishu-somalia/
"Finance and Admin Manager, Somalia",CARE International ,Somalia," December 20, 2023",https://qaranjobs.com/job/finance-and-admin-manager-somalia/
"Support Services Officer, Kismayo, Somalia",Secours Islamique France (SIF) ,"Kismayo, Somalia"," December 20, 2023",https://qaranjobs.com/job/support-services-officer-kismayo-somalia/
"Request For Expression Of Interest (REOI) for DRIVE Project Focal Point Somali Bureau of Standards (Individual Consultant), Mogadishu, Somalia",Federal Republic of Somalia (FRS) ,"Mogadishu, Somalia"," December 20, 2023",https://qaranjobs.com/job/request-for-expression-of-interest-reoi-for-drive-project-focal-point-somali-bureau-of-standards-individual-consultant-mogadishu-somalia/
Somali jobs in the Federal Republic of Somalia (14 positions),Federal Republic of Somalia ,Somalia," December 19, 2023",https://qaranjobs.com/job/somali-jobs-in-the-federal-republic-of-somalia-14-positions/
"Somali jobs expiring tomorrow (Wednesday, December 20, 2023)",QaranJobs - Somali Jobs ,Multiple Locations," December 19, 2023",https://qaranjobs.com/job/somali-jobs-expiring-tomorrow-wednesday-december-20-2023/
"Resilience Programme Officer, Gedo, Somalia",Trócaire ,"Gedo, Somalia"," December 19, 2023",https://qaranjobs.com/job/resilience-programme-officer-gedo-somalia/
"Re-Advert: Program Officer Consultant, Adan Yabal, Somalia",Creative Associates International ,"Adan Yabal, Somalia"," December 19, 2023",https://qaranjobs.com/job/re-advert-program-officer-consultant-adan-yabal-somalia/
"Somali jobs expiring today (Tuesday, December 19, 2023), Apply Soon",QaranJobs - Somali Jobs ,Somalia," December 19, 2023",https://qaranjobs.com/?post_type=job_listing&p=29238
"Senior Driver and Logisitics Clerk (Re-Advertised), Mogadishu, Somalia",United Nations Development Programme (UNDP) ,"Mogadishu, Somalia"," December 19, 2023",https://qaranjobs.com/job/senior-driver-and-logisitics-clerk-re-advertised-mogadishu-somalia/
"POLITICAL AFFAIRS OFFICER, Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," December 19, 2023",https://qaranjobs.com/job/political-affairs-officer-mogadishu-somalia-4/
"Information Management and Public Information Intern, IOM Somalia, Nairobi, Kenya",International Organization for Migration (IOM) ,"Nairobi, Kenya"," December 19, 2023",https://qaranjobs.com/job/information-management-and-public-information-intern-iom-somalia-nairobi-kenya/
"Camp Coordination and Camp Management (CCCM) Intern, IOM Somalia, Nairobi, Kenya",International Organization for Migration (IOM) ,"Nairobi, Kenya"," December 19, 2023",https://qaranjobs.com/job/camp-coordination-and-camp-management-cccm-intern-iom-somalia-nairobi-kenya/
"Nurses (3 Positions), Afgoye district, Lower Shabelle region, Somalia",Shabelle Community Development Organization (SHACDO) ,"Afgoye, Lower Shabelle, Somalia"," December 19, 2023",https://qaranjobs.com/job/nurses-3-positions-afgoye-district-lower-shabelle-region-somalia/
"MEAL Officer, Afgoye, Lower Shabelle Region, Somalia",Shabelle Community Development Organization (SHACDO) ,"Afgoye, Lower Shabelle Region, Somalia"," December 19, 2023",https://qaranjobs.com/job/meal-officer-afgoye-lower-shabelle-region-somalia/
"Education Officer (2 Positions), Bokolmayo & Melkadida, Somali Region",Save the Children ,"Bokolmayo & Melkadida, Somali Region"," December 19, 2023",https://qaranjobs.com/job/education-officer-2-positions-bokolmayo-melkadida-somali-region/
Midwifery Nurse ,Save the Children ,"Jigjiga, Somali Region"," December 19, 2023",https://qaranjobs.com/job/midwifery-nurse-mhn-jigjiga-somali-region/
"Re-Advert: Program Director, Gode, Somali Region",SOS Children's Villages Ethiopia ,"Gode, Somali Region"," December 19, 2023",https://qaranjobs.com/job/re-advert-program-director-gode-somali-region/
"Project Coordinator, Galkacayo, Somalia",Polish Humanitarian Action (PAH) ,"Galkacayo, Somalia"," December 19, 2023",https://qaranjobs.com/job/project-coordinator-galkacayo-somalia/
"WASH Assistant, Galkacayo, Somalia",Polish Humanitarian Action (PAH) ,"Galkacayo, Somalia"," December 19, 2023",https://qaranjobs.com/job/wash-assistant-galkacayo-somalia/
"WASH Officer, Galkacayo, Somalia",Polish Humanitarian Action (PAH) ,"Galkacayo, Somalia"," December 19, 2023",https://qaranjobs.com/job/wash-officer-galkacayo-somalia/
"Livelihoods and Food Security Officer, Garowe, Somalia",Norwegian Refugee Council (NRC) ,"Garowe, Somalia"," December 19, 2023",https://qaranjobs.com/job/livelihoods-and-food-security-officer-garowe-somalia-4/
"Monitoring and Evaluation Assistant (CRFM), Garowe, Somalia",Norwegian Refugee Council (NRC) ,"Garowe, Somalia"," December 19, 2023",https://qaranjobs.com/job/monitoring-and-evaluation-assistant-crfm-garowe-somalia/
"Log and Admin Officer (Internal/External), Bombas Gursum Woreda, Somali Region",Humanity & Inclusion ,Somali Region," December 19, 2023",https://qaranjobs.com/job/log-and-admin-officer-internal-external-bombas-gursum-woreda-somali-region/
"Sanitation and Hygiene Promotion Officer, Melkadida, Ethiopia",International Rescue Committee (IRC) ,"Melkadida, Ethiopia"," December 19, 2023",https://qaranjobs.com/job/sanitation-and-hygiene-promotion-officer-melkadida-ethiopia/
"Deputy Country Financial Controller (DCFC), Mogadishu, Somalia",Concern Worldwide ,"Mogadishu, Somalia"," December 19, 2023",https://qaranjobs.com/job/deputy-country-financial-controller-dcfc-mogadishu-somalia/
"Piloting a participatory, evidence-based project planning approach in Kismayo, Somalia",Ground Truth Solutions (GTS) ,"Kismayo, Somalia"," December 18, 2023",https://qaranjobs.com/job/piloting-a-participatory-evidence-based-project-planning-approach-in-kismayo-somalia/
"Public Private Partnership Consultant, Somalia",Adventist Development and Relief Agency International (ADRA) ,Somalia," December 18, 2023",https://qaranjobs.com/job/public-private-partnership-consultant-somalia/
SaferWorld Somali Jobs (5 Positions),SaferWorld ,Somalia," December 18, 2023",https://qaranjobs.com/job/saferworld-somali-jobs-5-positions/
DRC Somali Jobs (3 Positions),Danish Refugee Council (DRC) ,Somalia," December 18, 2023",https://qaranjobs.com/?post_type=job_listing&p=29214
"Somali jobs expiring tomorrow (Tuesday, December 19, 2023)",QaranJobs - Somali Jobs ,Multiple Locations," December 18, 2023",https://qaranjobs.com/job/somali-jobs-expiring-tomorrow-tuesday-december-19-2023/
"Project Manager, Hargeisa, Somaliland",Network Against Female Genital Mutilation in Somaliland (NAFIS) ,Hargeisa," December 18, 2023",https://qaranjobs.com/job/project-manager-hargeisa-somaliland-12/
"Finance & Admin Manager, Somalia",CARE ,Somalia," December 18, 2023",https://qaranjobs.com/job/finance-admin-manager-somalia/
"Social Transfers Programme Manager, Hargeisa, Somaliland",Concern Worldwide ,"Hargeisa, Somaliland"," December 18, 2023",https://qaranjobs.com/job/social-transfers-programme-manager-hargeisa-somaliland-3/
"Monitoring, Evaluation, Accountability & Learning Officer, Jowhar, Somalia",World Vision International (WVI) ,"Jowhar, Hirshabeele, Somalia"," December 18, 2023",https://qaranjobs.com/job/monitoring-evaluation-accountability-learning-officer-jowhar-somalia-2/
Database Specialist,Federal Republic of Somalia - MoLSA ,Somalia," December 17, 2023",https://qaranjobs.com/job/database-specialist/
Software Developer,Federal Republic of Somalia - MoLSA ,Somalia," December 17, 2023",https://qaranjobs.com/job/software-developer-3/
IOM Somali Jobs (10 Positions): Apply Now,International Organization for Migration (IOM) ,Somalia," December 17, 2023",https://qaranjobs.com/?post_type=job_listing&p=29193
"CHIEF OF PARTY, Mogadishu, Somalia",CARE ,"Mogadishu, Somalia"," December 17, 2023",https://qaranjobs.com/job/chief-of-party-mogadishu-somalia-5/
"MONITORING, EVALUATION AND LEARNING (MEL) LEAD, Mogadishu, Somalia",CARE ,"Mogadishu, Somalia"," December 17, 2023",https://qaranjobs.com/job/monitoring-evaluation-and-learning-mel-lead-mogadishu-somalia-4/
"FOOD SECURITY AND LIVELIHOODS LEAD/DEPUTY CHIEF OF PARTY, Mogadishu, Somalia",CARE ,"Mogadishu, Somalia"," December 17, 2023",https://qaranjobs.com/job/food-security-and-livelihoods-lead-deputy-chief-of-party-mogadishu-somalia-2/
"Livelihoods and Food Security Officer, Garowe, Somalia",Norwegian Refugee Council (NRC) ,"Garowe, Somalia"," December 17, 2023",https://qaranjobs.com/job/livelihoods-and-food-security-officer-garowe-somalia-3/
"Senior Driver and Logisitics Clerk, Mogadishu, Somalia",United Nations Development Programme (UNDP) ,"Mogadishu, Somalia"," December 17, 2023",https://qaranjobs.com/job/senior-driver-and-logisitics-clerk-mogadishu-somalia/
SENIOR DATABASE OFFICER ,Agency for Technical Cooperation and Development (ACTED) ,"Mogadishu, Somalia"," December 17, 2023",https://qaranjobs.com/job/senior-database-officer-mogadishu-somalia/
"Internal Auditor, Mogadishu, Somalia",CARE ,"Mogadishu, Somalia"," December 16, 2023",https://qaranjobs.com/job/internal-auditor-mogadishu-somalia/
"VIDEO AND PHOTOGRAPHY, Somalia",Adventist Development and Relief Agency International (ADRA) ,Somalia," December 16, 2023",https://qaranjobs.com/job/video-and-photography-somalia/
"Media and Communications Officer, Mogadishu, Somalia",International Organization For Migration (IOM) ,"Mogadishu, Somalia"," December 16, 2023",https://qaranjobs.com/job/media-and-communications-officer-mogadishu-somalia-2/
"Qualified Midwife, Jowhar, Somalia",International Organization For Migration (IOM) ,"Jowhar, Somalia"," December 16, 2023",https://qaranjobs.com/job/qualified-midwife-jowhar-somalia/
"Gynecologist/Obstetrician (Gyn/Obs), Bay Region, Somalia",International Organization For Migration (IOM) ,"Bay Region, Somalia"," December 16, 2023",https://qaranjobs.com/job/gynecologist-obstetrician-gyn-obs-bay-region-somalia/
"Pediatrician, Dhusamareeb, Somalia",International Organization For Migration (IOM) ,"Dhusamareeb, Somalia"," December 16, 2023",https://qaranjobs.com/job/pediatrician-dhusamareeb-somalia/
"Qualified Midwife, Garowe, Somalia",International Organization For Migration (IOM) ,"Garowe, Somalia"," December 16, 2023",https://qaranjobs.com/job/qualified-midwife-garowe-somalia/
"Procurement Specialist for PIU DRIVE Project (Individual Consultant), Mogadishu, Somalia",Federal Republic of Somalia (FRS) ,"Mogadishu, Somalia"," December 15, 2023",https://qaranjobs.com/job/procurement-specialist-for-piu-drive-project-individual-consultant-mogadishu-somalia/
"Supply Chain Assistant (1 Position), Kismayo, Somalia",Save the Children ,"Kismayo, Somalia"," December 15, 2023",https://qaranjobs.com/job/supply-chain-assistant-1-position-kismayo-somalia/
"Health & Nutrition team lead, Jigjiga",Save the Children ,Jigjiga," December 15, 2023",https://qaranjobs.com/job/health-nutrition-team-lead-jigjiga/
"Fleet Coordinator, Gode",Save the Children ,Gode," December 14, 2023",https://qaranjobs.com/job/fleet-coordinator-gode/
"ICT Assistant, Hargeisa, Somaliland",SOS Children’s Villages International ,Hargeisa," December 14, 2023",https://qaranjobs.com/job/ict-assistant-hargeisa-somaliland/
"National Program Officer (Environmental Peacebuilding), Mogadishu, Somalia",Committed To Good (CTG) ,"Mogadishu, Somalia"," December 14, 2023",https://qaranjobs.com/job/national-program-officer-environmental-peacebuilding-mogadishu-somalia-2/
"11 Somali jobs expiring today (Thursday, December 14, 2023), Apply Soon",QaranJobs - Somali Jobs ,Multiple Locations," December 14, 2023",https://qaranjobs.com/?post_type=job_listing&p=29160
"Summary of Somali jobs published today on Qaranjobs: Somali Jobs (Wednesday, December 13, 2023)",QaranJobs - Somali Jobs ,Multiple Locations," December 13, 2023",https://qaranjobs.com/?post_type=job_listing&p=29159
"Finance Manager, Mogadishu, Somalia",International Rescue Committee (IRC) ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/finance-manager-mogadishu-somalia-13/
UNHCR Somali Jobs (4 Positions),United Nations High Commissioner for Refugees (UNHCR) ,Somalia," December 13, 2023",https://qaranjobs.com/job/unhcr-somali-jobs-4-positions/
HART ,Committed To Good (CTG) ,Somalia," December 13, 2023",https://qaranjobs.com/job/hart-international-security-analyst-isa-eoi-1-position-somalia/
HART ,Committed To Good (CTG) ,Somalia," December 13, 2023",https://qaranjobs.com/job/hart-international-security-manager-ism-eoi-1-position-somalia-2/
Desk Study ,"Social Impact, Inc. ",Somalia," December 13, 2023",https://qaranjobs.com/job/desk-study-somalia-diaspora/
"Market System Development (MSD) Coordinator, Mogadishu, Somalia",Islamic Relief ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/market-system-development-msd-coordinator-mogadishu-somalia/
"Data and Analysis Officer, Mogadishu, Somalia",SaferWorld ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/data-and-analysis-officer-mogadishu-somalia/
"Gender Advisor, Mogadishu, Somalia",SaferWorld ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/gender-advisor-mogadishu-somalia/
"Project Manager, Mogadishu, Somalia",SaferWorld ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/project-manager-mogadishu-somalia-19/
"Re advertisement: Country Security Coordinator, Mogadishu, Somalia",SaferWorld ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/re-advertisement-country-security-coordinator-mogadishu-somalia/
"Project Officer, Mogadishu, Somalia",SaferWorld ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/project-officer-mogadishu-somalia-4/
Programme Policy Officer ,World Food Programme (WFP) ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/programme-policy-officer-head-of-ngo-partnerships-mogadishu-somalia/
"Project Officer, Jowhar, Somalia",WARDI Relief & Development Initiatives ,"Jowhar, Somalia"," December 13, 2023",https://qaranjobs.com/job/project-officer-jowhar-somalia-2/
"Senior Safeguards Specialist, Mogadishu Somalia",Federal Republic of Somalia (FRS) ,Mogadishu SomaliaSomalia," December 13, 2023",https://qaranjobs.com/job/senior-safeguards-specialist-mogadishu-somalia/
"Somali jobs, Trainings and tenders expiring today (Wednesday, December 13, 2023), Apply Soon",QaranJobs - Somali Jobs ,Somalia," December 13, 2023",https://qaranjobs.com/?post_type=job_listing&p=29141
"Chief of Party (COP), Infectious Diseases(Global Fund), Mogadishu, Somalia",World Vision International (WVI) ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/chief-of-party-cop-infectious-diseasesglobal-fund-mogadishu-somalia/
"M&E Manager, Mogadishu, Somalia",International Rescue Committee (IRC) ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/me-manager-mogadishu-somalia/
"Food Security and Livelihoods Sector Technical Lead, BHA/Somalia Resilience Food Security Activity (RFSA) ",Save the Children ,"Mogadishu, Somalia"," December 13, 2023",https://qaranjobs.com/job/food-security-and-livelihoods-sector-technical-lead-bha-somalia-resilience-food-security-activity-rfsa-mogadishu-somalia/
"Data and GIS Manager, Hargeisa, Somaliland",IMPACT Initiatives ,Hargeisa," December 13, 2023",https://qaranjobs.com/job/data-and-gis-manager-hargeisa-somaliland/
"Driver, Dollow, Somalia",International Organization for Migration (IOM) ,"Dollow, Somalia"," December 13, 2023",https://qaranjobs.com/job/driver-dollow-somalia-3/
"GYSI Technical Specialist- Highlands Resilience Activity, Dire Dawa",Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/gysi-technical-specialist-highlands-resilience-activity-dire-dawa/
Monitoring Evaluation And Learning Officer ,Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/monitoring-evaluation-and-learning-officer-highlands-resilience-activity-dire-dawa/
"Off- Farm Enterprise Technical Specialist- Highlands Resilience Activity, Dire Dawa",Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/off-farm-enterprise-technical-specialist-highlands-resilience-activity-dire-dawa/
"Human Resource and Admin Assistant, Jigjiga, Somali Regional State",Mercy Corps ,"Jigjiga, Somali Regional State"," December 13, 2023",https://qaranjobs.com/job/human-resource-and-admin-assistant-jigjiga-somali-regional-state/
Accountability And Safeguarding Officer ,Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/accountability-and-safeguarding-officer-highlands-resilience-activity-dire-dawa/
Logistics Officer ,Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/logistics-officer-highlands-resilience-activity-dire-dawa/
On ,Mercy Corps ,Dire Dawa," December 13, 2023",https://qaranjobs.com/job/on-farm-enterprise-technical-specialist-highlands-resilience-activity-dire-dawa/
Jobs at ANPPCAN Somalia (7 Positions) ,ANPPCAN-SOM ,Somalia," December 13, 2023",https://qaranjobs.com/job/jobs-at-anppcan-somalia-7-positions-somali-jobs-apply-now/
"Summary of Somali job opportunities and Somali tenders/contracts published today on Qaranjobs: Somali Jobs (Tuesday, December 12, 2023)",QaranJobs - Somali Jobs ,Multiple Locations," December 12, 2023",https://qaranjobs.com/job/summary-of-somali-job-opportunities-and-somali-tenders-contracts-published-today-on-qaranjobs-somali-jobs-tuesday-december-12-2023/
"Somali jobs, Trainings and tenders expiring tomorrow (Wednesday, December 13, 2023)","QaranJobs - Somali Jobs (DRC, World Vision, ACTED) ",Multiple Locations," December 12, 2023",https://qaranjobs.com/job/somali-jobs-trainings-and-tenders-expiring-tomorrow-wednesday-december-13-2023/
"Strategic Stabilization Advisor (D1), Mogadishu, Somalia",International Organization for Migration (IOM) ,"Mogadishu, Somalia"," December 12, 2023",https://qaranjobs.com/job/strategic-stabilization-advisor-d1-mogadishu-somalia/
"Procurement of Consultancy Services for Integrated Mass Media and Behavior Change Campaigns for Citizen Engagement and Feedback, Somalia",Federal Government of Somalia (FGS) ,Somalia," December 12, 2023",https://qaranjobs.com/job/procurement-of-consultancy-services-for-integrated-mass-media-and-behavior-change-campaigns-for-citizen-engagement-and-feedback-somalia/
Consortium Coordinator ,Agency for Technical Cooperation and Development (ACTED) ,"Mogadishu, Somalia"," December 12, 2023",https://qaranjobs.com/job/consortium-coordinator-mogadishu-somalia/
"Re-Advertisement: Grants Management Officer, Mogadishu, Somalia",Danish Refugee Council (DRC) ,"Mogadishu, Somalia"," December 12, 2023",https://qaranjobs.com/job/re-advertisement-grants-management-officer-mogadishu-somalia/
"Humanitarian Access Specialist, Mogadishu, Somalia",Danish Refugee Council (DRC) ,"Mogadishu, Somalia"," December 12, 2023",https://qaranjobs.com/job/humanitarian-access-specialist-mogadishu-somalia-2/
"Monitoring, Evaluation and Accountability Officer (MEAL), Hargeisa, Somaliland",Concern Worldwide ,Hargeisa," December 12, 2023",https://qaranjobs.com/job/monitoring-evaluation-and-accountability-officer-meal-hargeisa-somaliland/
IOM Somali Jobs (3 Positions): Apply Now,International Organization for Migration (IOM) ,Somalia," December 11, 2023",https://qaranjobs.com/job/iom-somali-jobs-3-positions-apply-now/
"Human Resources Officer (People & Culture), Galkacyo, Mudug, Somalia",International Rescue Committee (IRC) ,"Galkacyo, Mudug, Somalia"," December 11, 2023",https://qaranjobs.com/job/human-resources-officer-people-culture-galkacyo-mudug-somalia/
"COMMUNITY ENGAGEMENT OFFICER, Hargeisa, Somaliland",Mercy Corps ,Hargeisa," December 11, 2023",https://qaranjobs.com/job/community-engagement-officer-hargeisa-somaliland/
Re-Advert: Private Sector Engagement & Investment Officer ,Mercy Corps ,Hargeisa," December 11, 2023",https://qaranjobs.com/job/re-advert-private-sector-engagement-investment-officer-psei-rlp-hargeisa/
"Somali jobs and trainings expiring today (Monday, December 11, 2023): apply soon.",QaranJobs - Somali Jobs ,Somalia," December 11, 2023",https://qaranjobs.com/?post_type=job_listing&p=29097
"WASH Engineer, Baidoa, Southwest State of Somalia",Wadajir Rural Development Organization (WARDO) ,"Baidoa, Southwest State of Somalia"," December 10, 2023",https://qaranjobs.com/job/wash-engineer-baidoa-southwest-state-of-somalia-2/
"Distributor, Hudur, Somalia",SOS Children's Villages International ,"Hudur, Somalia"," December 10, 2023",https://qaranjobs.com/job/distributor-hudur-somalia/
Associate External Relations Officer ,United Nations High Commissioner for Refugees (UNHCR) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/associate-external-relations-officer-mogadishu-somalia/
Associate Information Management Officer ,United Nations High Commissioner for Refugees (UNHCR) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/associate-information-management-officer-mogadishu-somalia/
Associate Administrative Officer ,United Nations High Commissioner for Refugees (UNHCR) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/associate-administrative-officer-mogadishu-somalia/
Associate Human Resources Officer ,United Nations High Commissioner for Refugees (UNHCR) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/associate-human-resources-officer-mogadishu-somalia/
"Obs & Gyn Doctor, Baidoa, Somalia",SOS Children's Villages International ,"Baidoa, Somalia"," December 10, 2023",https://qaranjobs.com/job/obs-gyn-doctor-baidoa-somalia/
"Public Sector Management Focal Point, Mogadishu, Somalia",Federal Republic of Somalia (FRS) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/public-sector-management-focal-point-mogadishu-somalia/
"Senior HR & Civil Service Advisor, Mogadishu, Somalia",Federal Republic of Somalia (FRS) ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/senior-hr-civil-service-advisor-mogadishu-somalia/
"Domestic Revenue Mobilization Advisor, Galmudug State of Somalia",Federal Republic of Somalia (FRS) ,Galmudug State of Somalia," December 10, 2023",https://qaranjobs.com/job/domestic-revenue-mobilization-advisor-galmudug-state-of-somalia/
"Domestic Revenue Mobilization Advisor, Hirshabelle State of Somalia",Federal Republic of Somalia (FRS) ,Hirshabelle State of Somalia," December 10, 2023",https://qaranjobs.com/job/domestic-revenue-mobilization-advisor-hirshabelle-state-of-somalia/
"Senior Administration and Safety Officer, Mogadishu, Somalia",Concern Worldwide ,"Mogadishu, Somalia"," December 10, 2023",https://qaranjobs.com/job/senior-administration-and-safety-officer-mogadishu-somalia/
"Finance Manager, Hargeisa, Somaliland",ALIGHT ,"Hargeisa, Somaliland"," December 10, 2023",https://qaranjobs.com/job/finance-manager-hargeisa-somaliland-6/
"MEAL/HMIS Manager, Hargeisa, Somaliland",ALIGHT ,Hargeisa," December 10, 2023",https://qaranjobs.com/job/meal-hmis-manager-hargeisa-somaliland/
