Qoraalka,Label,Qeybta
maalin wanaagsan Su aal Waa maxay farqiga dhaxeeya qaadka Awadeyga iyo Mero ga Mahadsanid,1,Positive-Wanaag
Alle haysku barakeeyo,1,Positive-Wanaag
Hanbalyo qudha xagayga,1,Positive-Wanaag
Hada isagaba duq eeg wiilkii macdantii dhalin yarnimada walagala baxay masha allah ud83d ude02,1,Positive-Wanaag
In lagaa helo ayaa ah fursad kaabta noloshaada iskaba daa in jacayl baaxad waynle laguu qaado e waxaase aad wacnaan lahayd in aadan qalbi xirnayn oo ay kugu soconayaan ereyada beer qaadka ah ee ka imanaya nafta kuu ooman Naf qaybsi,1,Positive-Wanaag
Haddi qaadka laga joojiyo somaali meel Kasta oo ay joogto waxay noqon lahayd ummad haybad leh oo laga danbeeyo Aabaha dhibta weeye bahalku,1,Positive-Wanaag
Xukuummaddu way dedaallaysaa wax wanaagsan oo badan oo saabsan ka hortagga Covid 19 ayay waddaa WELI SE WAXA LA TEBAYA GOORTA AAD QAADKA IYO XUDUUDKA ITOOBIYA EE FURAN TALLAABO KA QAADI DOONTAAN,1,Positive-Wanaag
Hafsa Bilan frtuunba xifdisane noosheeg dheh,1,Positive-Wanaag
Hubeysan Hassan sheikh magaca cusub waxaa bixiyey ganacsade qaadka madaxweynaha nin ayuu jeebka ugu jiraa marka Hassan jeebkujire please magaca xamzi hala keeeno waan kusugeynaa odowa,1,Positive-Wanaag
Ciidamada Booliska Puntland ayaa duleedka Garowe waxay Cawa ku gubeen14 jawan oo qaad ah Goobta lagu gubay qaadka waxaa gob joog ahaa Xeer ilaaliyaha Puntland Guddoomiyaha Maxkamada derajada kowad ee Nugaal Taliyaha Booliska Puntland iyo Sarakiil kale,1,Positive-Wanaag
Madaxweyne kuxigeenka Kenya William Ruto ayaa sheegay in diyaaradaha Qaadka ay kala hadli doonaan dowlad cusub ee Soomaaliya kadhalan doont inta uu Farmaajo joogo wax rajo ah kama qabno waxaana beeraleyda Qaadka ugu baaqayaa in ay waxkale beertaan ayuu yiri Farmaajo hajoogo,1,Positive-Wanaag
Waa ninkii lahaa qaadka faa idadisa waxaa ka samayn badan qatartiiisa Wlle Hassanow ku baranay Hassan Shalay iyo Hassan maanta,1,Positive-Wanaag
Mnshllh illahay ha idin xafido,1,Positive-Wanaag
Axmed Muse Cali halkasa nimcadu ku jirta raadso islaan ka weyn wll ud83d ude02 ud83d ude05,1,Positive-Wanaag
Isku wara abid ,1,Positive-Wanaag
Eng Axmed Ali haday farxiya daarood ama isaaq ahaan lahayd nCay baa social media looga saari lahaa ud83d ude01,1,Positive-Wanaag
Somaliland Waxa sidaas ah dareenka muqayiliinta ku dhaqan magaalada Hargaysa kuwaas oo soo buux dhaafiyey goobihii uu qaadku kusoo dagi jirey Badnaa Qaadka Somaliland laga cuno ayaa laga keenaa dalka Ethiopia waxaana si weyn sameeyey Dibadbaxyada kasocda dalkaas,1,Positive-Wanaag
Ha dhamaado takoorku,1,Positive-Wanaag
Waxaa la mid ah Aabbaha Soomaaliyeed ee isaga oo sigaarka iyo qaadka ba cunaya raba in ilmihiisu toosnaado oo waddaad noqdo quraankana xifdiyo,1,Positive-Wanaag
All Somali People HALA JOOJIYO QAADKA KA IMANAYA KENYA IYO ETHIOPIA SI LOOGA BADBAADO CORONAVIRUS KA Sign the Petition via,1,Positive-Wanaag
All Somali People HALA JOOJIYO QAADKA KA IMANAYA KENYA IYO ETHIOPIA SI LOOGA BADBAADO CORONAVIRUS KA Sign the Petition via,1,Positive-Wanaag
Siyaasadii mafrishyada qaadka oo hadafkeedu ahaa maruuryoodayay iyo ummad kicin lagtigeedu intaan lagu hadaaqin waxay baahneyd baaris iyo daraaseyn iyo su aal Waaqica dhulka ka jira dhagaheedii ma leeyahay Dhug la aan waa dhibaato wacyiga,1,Positive-Wanaag
Faiza Mudane Madaxweyne Qaadka Ethiopia halla joojiyo kan Kenyana yaan la fasaxin Dhibkeenna kale ayaa inaga badan,1,Positive-Wanaag
raxman Cabaadweeney ma intaasaa waxaa ordeysiin ayaa ah in Kenyanku qaadka idinku daldalo war si fiican marqaama koleey muuse wax kale looguma yeerinee,1,Positive-Wanaag
Alle ha isu barakeeeyo,1,Positive-Wanaag
Dowladda Soomaaliya waxaa kula talin lahaa in ay joojiso qaadka sababtoo ah marba haddii Covid 19 soo gaaray Kenya waxaa wanaagsan in lajoojiyo gebi ahaanba qaadka ama Jaadka waa fursad dahabi ah Bulshadana Caafimaadkooda ayaa ku jirto mar marsiyo masoconeeso,1,Positive-Wanaag
Gudiga Afka banaan ee Marfishyada Soomaaliyeed ayaa ugu baaqay Madaxweynaha inuu fasaxo diyaaradaha Qaadka,1,Positive-Wanaag
Rahma Mahamood what a shameful comment,1,Positive-Wanaag
Dowladda Soomaaliya ayaa Itoobiya ogolaatay in qaadka Jaadka dalka Ethoipia uu si sharci ah ku soo galo Soomaaliya iyadoo wali Kenya ay saarantahay xayiraaddii lagu soo rogay ee la xiriirtay ganacsiga qaadka Shirkadda National Airways oo fadhigeedu yahay dalka Itoobiya,1,Positive-Wanaag
Manzha allah barakooba,1,Positive-Wanaag
Ragii maanta waxay ku mashquulsanyihin badankood sida ay ku heli lahaayen mijinta qaadka ah,1,Positive-Wanaag
Dadku waa isku dhoonee ha dhamaado takoorku nXildhibaan Ummadeed Barkhad Jaamac Batuun,1,Positive-Wanaag
War Cusub Oo Kusoo Kordhay Heshiiskii Qaadka Ee U Dhaxeeya Kenya Iyo Soomaaliya,1,Positive-Wanaag
Saas kuwad ninba dhan badi hawlina Waa isla qabasho Meel muhiima aad umada ugu jirtaa lakiin Puntland haku ekaane meel walba halagaa arki umadu baraarujin qaadka way baahnayd waqti hore,1,Positive-Wanaag
Qaadka Ethiopia Iyo Qaadka Kenya Midkee fiican,1,Positive-Wanaag
Puntland oo gebi ahaanba mamnuucday Qaadka si looga hortago Coronavirus,1,Positive-Wanaag
dhiiri geliye cajiib ah baa tahay sxb muuqaalkana wuxuu muujinayaa dhallinyarada aqoonyahanka ah iyo dhamaan bulshadu sida ay kuu garab taagan yihiin adiga iyo qorshaha la dagaalanka qaadka Guulayso,1,Positive-Wanaag
Mubarek ma Arsenalba ud83d ude02,1,Positive-Wanaag
Labo eray ay isticmaashay dawladda somalia siduu sheegay wasiir Maareeye 1 Ololaha cibirta 2 Corona virus must go out Waxaa iiga soo baxay in Dawladada ee dhihi rabto dhawaan corona waa uu baxay ee adeeg kasta waa fasax sida Qaadka,1,Positive-Wanaag
Qaadka sunta ah ee aad cunaysid ee noloshaada iyo caafimaad kaagaba halista galinaya ku badalo qudaar tan caafimaad ka ah iyo khayraatka dabiiciga ah ee wadan keena kaso baxa,1,Positive-Wanaag
Saan qaadka hawlaha,1,Positive-Wanaag
Marka 1waad Waxaan Mahadcelin Madaxweyne Maxamed Abdullaahi Maxamed Farmaajo oo qaatay go aan wanaagsan oo ah in d Dalka laga joojiyo qaadka Kenya Marka 2aad waxaan mahadcelin Mr abukar Cawaalle qaadiid oo soo dhaweeye go aanka Madaxweyne Farmaajo Kaamil Abdulkadir Jama,1,Positive-Wanaag
qaran gallow Aan rar aqoon ku cusub nolosha wax qaadka,1,Positive-Wanaag
Qaadku Waa Ganacsi ku fadhiya 1 Billion Dollar Awood uma laha Xukuumada fadaraalka somalia in ay joojiso Qaadka Waxa Cuna Aqoonyahanka Dhakhtarka Askariga Siyaasiga Madaxda iyo shacabka caadiga ah,1,Positive-Wanaag
Hawsha manad so afjarin xildhiban ud83d ude09 nHambalyo reerka cusub Allah haysu barakeyo,1,Positive-Wanaag
Somaliland Shimbiraha Dad Qaadka Ah Oo Isku Faafiyay Deegaanada Bariga Somaliland Iyo Soomaalida Itoobiya Iyo Weeraro Cusub Oo Ay Gaysteen,1,Positive-Wanaag
Qaadka inta aad modey waa ka awood badan yahay Xukumada dhexe aya lagu xumaynaya sida wararku sheegayan aan fasixi doonin qaadka,1,Positive-Wanaag
Mashallah waxan ku farxay inaad dhallinyaro tihiin Haddii ilaahay idinka ilaaliyo qaadka iyo xagjirnimada wax idin joojinaya ma jiro Guleysta,1,Positive-Wanaag
Madasha warbaahinta SIMHA ayaa qabatay doodda ku saabsan Dammaanad qaadka helista macluumaadka iyo ixtiraamka xorriyadda hadalka Annaga oo matalayna Guddiyada Doorashada waxa aanu cadaynay in doorashadu furantahay warbaahinta dhamaan xogaha ay rabaana aanu la wadaagayno,1,Positive-Wanaag
Canugaan hooyadii manooli miyaa,1,Positive-Wanaag
Mohamud Tooxow abti xumaantu maxay tahay hadayba saygeeda si xalaal ah isu guursadeen nNo more discrimination,1,Positive-Wanaag
AHN Ahmed Jinis sheeko uu duubay 1981 oo la odhan jirey Hadal qaadka jaceylka hadmaa kuugu horeysay ayaan dhageystay sanadkii 1997 Gabeygan dhayalsi na pagekii dharaaro ee Muhaajid boobe ayaan ku arkay wakhti hore Waa maanso cajiib ah,1,Positive-Wanaag
Waa YAAB Xassan Shiikh Madaxweynaha Somalia Miya Muse Wadiirka Qaadka Ayandaro badanaa,1,Positive-Wanaag
Masha allah guurkiinu guur kheyr gurigiinu guri nagi reerkii isku barakooba allah ha idinka dhigo,1,Positive-Wanaag
Farhan Dirie barkhad wiilka xaaladiisa nooga waran ma dhahnaa lol,1,Positive-Wanaag
Haddii Hargeysa maamul goboleed tahay maxay soomaliya maamuli wayday Saaxiib horta jar isku qaadka intaasi leeg ilaa goorma dadka koonfur ku nool khaasatan Muqdisho ay iska daynayaan this whats called Dreaming day Waar xoogsade bal horta seexo,1,Positive-Wanaag
Hambalyo,1,Positive-Wanaag
Farriinta dublamaasiyadeed ee ah in madaxweynaha JFS uu soo dhaweeyo wasiirka BEERAHA KENYA waa iska caddahay qasdi kale kale malihine qaadka nagala hadal Aragtidayda na waa bahdilaad Kenya ayadaa baahan in ay timaado bay ahayd haddii kalena uu soo dhaweeyo dhiggiisa,1,Positive-Wanaag
Daboolo Afka iyo Sanka Gacan Qaadka Jooji Faraxalo Had iyo jeer Ka Foojignow isu imaatanka Laga Maarmi karo Mas uuliyad Wayn iska Saar in Uusan Dadka Ku faafin KahortagCudurkaKoroona,1,Positive-Wanaag
Mash allah hambalyo,1,Positive-Wanaag
caawimaada keliya ee bulshadu baahan tahay iminka waa joojinta qaadka iyo diyaarada muse aerline iyo in dadka dalka dhashay ee debeda ku maqan in laga wacyi geliyo in yana dalka ku soo laaban inta uu waxani socto intaasuun dowlada naga gaadhsiiya wlloyaal,1,Positive-Wanaag
In lagu fahmay xitaa ma fahmeysid miyaa Qaadwale Farmaajo meeqa uu kaa siin jiray qaadka Ethiopia uu ka keensanaayey,1,Positive-Wanaag
Somalia oo degtaa waxay baahan tahay dib heshiisiin qaran dhisidda dowlad loo dhan yahay nabadda oo la dammaanad qaado miro dhalka wadahadalka Waqooyi amp Koofur dastuurka dhameys tiran ballan qaadka la dagaallanka argagixisada shaqo abuur cadaalad baahda amp adeeg dowladeed,1,Positive-Wanaag
Baarlamanka Somalia ayaa ku dhawaaqay in gebi ahaanba la joojiyo qaadka dalka soo geleya maadaama dalalkii uu ka imanayey uu ka dillaacay COVID 19,1,Positive-Wanaag
Adeer waan ku wareeray sidaan raadinayay buuggaaga Hadimooyinka Qaadka ee meel saxan oo aan ka heli karo maad ii tilmaamtid xataa Gmail waan ku soo diree,1,Positive-Wanaag
Magaca wanaagsan ee quruxda badani waa asal madoorshe In aad Danqaran isku magcawdaan iyo in aad Qaadka Miirooga oo la wada ogyahay dhibta uu dadka ku hayo dalka kusoo fasaxdaan bal idinku is waafajiya hadii caqligiinu shaqaynayo Abaarta inta idinku aad keenteen dadka ka daaya,1,Positive-Wanaag
Walaahi waa xaqiqo jirta waan arakay dhalinyaro fara badan oo markay isbadalaan caafimad ahaan xarumaha cafimadka lageeyo la nasiyo ugu yaran 6bilood kadib markay cafimadan ku laabta cunista qaadka siday uwadaan marka danbe hadana la xidhxidho waa dhibaato somalida saamaysay,1,Positive-Wanaag
Caawa habeen barkii baan arkay dad badan haweenkii qaadka Muqdisho ku iibinayay oo yaacaya maba ogeyn waxey ahaayeen ruux ka mid ahaa baan weydiiyay sida ay wax jiraan Kulahaa doon qaad sidda ayaa caawa xeebta Muqdisho ku soo xiratay oo laga gaarsiinayaa aroortii waa diyaar,1,Positive-Wanaag
Ma adiga soo abaabulay joojinta Qaadka gudaha Itoobiya Shaqo fiican baad qabatay,1,Positive-Wanaag
Mohamed Updirisaq Ali alaa wayeey waay dumarki wacaan ee sidaa oo kale ahaa waay so dabar goaan ud83d ude05 ud83d ude05,1,Positive-Wanaag
Waar aqoonsiga somaliland Hawshooda mahan somalina inay manta dhex ka Ahadaan waa mid muhiima anigana qaadka cadawka kobad ayaan uhaysta culimana cadawba ilama aha Marka waan kala duwanahay ee tada hayso ana tayda haysana sasa Haboon,1,Positive-Wanaag
Qaadka joojintiiss Fursadii ugu fiicneyd waa hada oo uu xiran yahay ee haloo kaco inaan lasoo furin hala abaabulo mudaharaadyo lagu taageerayo xirnaanta qaadka lagaga soo horjeedo in dib loo furo hala sameeyo dood cilmiyeedyo lagaga hadlo qaadka sayid,1,Positive-Wanaag
Soomaaliya Qaadka ma laga joojiyey misa hadoow Xooli ku soo galaa via Dayniiile com Latest news from around the world,1,Positive-Wanaag
Good morning Jason we re sorry to hear you ve had such a negative experience with our customer services team and we d like to help you from here Please send us a DM with some more information as to what s happened,1,Positive-Wanaag
Masha Allah Allah ha idin barakeyo,1,Positive-Wanaag
Waxaan ka codsaneyaa dadka Ilaaheey dhiibey mas uuliyada mid ogaada maalin ayaa la idinkula xisaabtami doonaa hadii aad dayacdaan mas uuliyadaas is xisaabi Inta kaan lagu xisaabin faldan gebi ahaan hala joojiyo qaadka oo intaas khasaare noo geystey waad jedan intas nagu fil,1,Positive-Wanaag
Farmaajo Aad iyo aad baad ugu mahadsantahy ololaha ka hortaga qaadka aad wado Lknse waxan ku xasusinayaa inaad Afka hooyo wax ku qorto waayo dadka aad wax sheegayso waa somaali ma ahan ingiriis,1,Positive-Wanaag
Haday dibjiraan dugaag ma cunee,1,Positive-Wanaag
Saaxiib marka hore qaadka iska dhaaf kadibna shaqeyso kkkk,1,Positive-Wanaag
Qaadka waxa la yidhi waa la joojiyey waxaase jira qaadka ka soo laga soo qaado marsin oo dhaw gaashaamo degmooyinka ugu horeeya ee somaliland uu soo gaadhayaa malaha waxa gaadiid ciidan askardooduna waa afar keliya waana halka qaadka magaalooyinka lugu cunaayo uu ka soo galay,1,Positive-Wanaag
Wasiirka Maaliyada Somaliland Oo Sheegay In 6 dii Bilood Ee Ugu Horeeyey Sanadkan Qaadka Ay Ku Baxday 19 Milyan,1,Positive-Wanaag
Sirdoonka iyo dhagar qabka shirkadda Imaaraatka waa wax aan lagu sifeyn karin kafaala qaadka kooxda Iyada oo loo marayo waxay ku gaadhay guulo waaweyn habka ugu gaaban iyada oo la gaadhay qaybo badan oo dad ah oo ku faafay qaaradaha adduunka ugu waaweyn iyada oo ay ka yar,1,Positive-Wanaag
Mar uun aan maqlo war wacan oo Burco ka yimid 1191kii kaddib Mashallah Laakiin taayirada qiiqa ka baxaa waa sune ha gubina Batroor yar ku shuba oo guba qaadka Horta reer Burco taayirada miyaanay aqoon in kabo laga sameyn karo,1,Positive-Wanaag
Mudane waxaa la yiri lax meesha ay is dhigto ayaa lagu gowracaa maxaa maanta kugu dhacay in uu ku soo dhaweeyo waziirka qaadka war madaxweyne naga xishoo oo dadka baratakolka kuu qaabilsan ma saan ayaa daacad ka ah official state visit ma saanaa aney igaartay jaad ha saxiixin jog,1,Positive-Wanaag
Inuu yahay waa laga dareemayaa,1,Positive-Wanaag
Allow ka qabo Soomaali kuwa doonayo in Qaadka Sunta ee yimaado inuu sii socdo iyo kuwa ka daran ee Damiir lawaayasha ah ee magacyada badan oo doonayo in Qaadki dib loo furo,1,Positive-Wanaag
Raga qaadka cunoow caafimaadkiina ogaada wallee waa la idin yaabaa,1,Positive-Wanaag
gallow Waa aragti toosan inaan beeranno qaadka balse wadaadada kan Ethiopia ku qayila ayaa ina oranaya waa xaaraan Haah bariiska iyo sonkorta waan beerannaa inkastoo aaney nagu fillayn,1,Positive-Wanaag
Bal mar qura guys if ka hadal qaadka iyo lacagta kaga baxda caasimada muqdisho keliya intaas iyo malaayiinka inooga baxo si loo joojiyo Intaad dawlad isleedahay shaki ka geli umada baahan qaran awood leh mase ka hadashay kenyankii yimi airspace keena oo xiran Siyaasi la dhis,1,Positive-Wanaag
Qaad layaashii Kenya Oo Ku Faraxsan In Suuq Loo Helay Iib Geynta Qaadka Mira Waxaanay Soo Dhawaynayaan Socdaalka Madaxweynaha Somaliland Shirwac ayn 5,1,Positive-Wanaag
Alxamdulilah illah aya mahad sugnaatey mar hadii illaahey iga reebey cunida qaadka waxaan heley faaidooyin badan oo aan lasoo koobi karin oo ka mid ah 1 caafimaad oo aan ku kalsoonahay aya illah isiiyey 2 xoolaheyga ayaa illaahey ii barakeyey waxa ku sameeystey,1,Positive-Wanaag
Farmaajo Runtii Waa arin bogaadin iyo ammaanba mudan mahadsanid wasiir adiga iyo madaxdaaduba Adduunka kama dhacdo koror mushaar oo 100 ku dhow Laakiin hawl kama daale wali Waa hagadii hiigsigu Waa inuu noqdaa ciidan maandooriyaha sida qaadka ka caafimaad qaba mushaar ku filan hela,1,Positive-Wanaag
Halista ugu daran ee soomaaliya wajaheeyso xiligan ee faafin Cudurka coronovirus waa Jaadka Qaadka Allow ka badbaadi umada Cudurkan waa in la joojiyaa Qaadka,1,Positive-Wanaag
War ninkaani lacag baa udaran Sidii asdiguba aad ugu ololaynaysay doorasha kuwa qaadka doonayay sida Xasan Sheikh oo kale,1,Positive-Wanaag
Wiil dhalinyaro ah oo Soomaaliyeed oo Qaadka joojintiisa ka raystay ayaa Dowlada Soomaaliyeed ka codsaday Ineeysan Kenya uhiilin oo ay iyaga uhiiliyaan oo aysan Qaadka dib usoo celin Hadal Weyn Farmaajo,1,Positive-Wanaag
Tirada raga qaadka cuna ayaa waxay ka bdnthy tirada dumarka badeecada caba,1,Positive-Wanaag
Maxay noo dheheen Qaadka kenya yaa ka marqaan badan kan Ethiopia Farmaajo siduu rukuntay Haywadayga Ethiopia sow isaga waraaqaha wiiftada ah nagala daaley,1,Positive-Wanaag
Mubaarak waa nin madhiban ah nMadhibankuna waa niman gorgaarte hawiye ah oo dhalad ah nMarka takoor maba jiro qoyska cusub waxan leeyahay hanbalyo wada jira Osman Mahamed iyo Hamse Abdirahman ma been baa adeeryalow,1,Positive-Wanaag
DAAWO Shacabka Burco Oo Si kulul Uga Hadlay Gaadiidka Qaadka Oo Ay Rag Hubaysani Burco Soo Geliyeen,1,Positive-Wanaag
He d be threatening the army by saying something like Wallahi oo billahi oo tallahi hadaa jaadka la soo celin waayo ninwalba caruurkiisa ayaa wada Agoomo noqon doona Waa qasab in qaadka la soo celiyo looooool,1,Positive-Wanaag
Sifiican ataa looga dareemayaa waan soodhawaynaynaa joojinta qaadka anigu waxan jogaa gobolka sool,1,Positive-Wanaag
Qabiil ma yaqaano dookhu ud83d ude0a alle haa isku barakeeyo,1,Positive-Wanaag
Ayaad malaynaysa cida qaadaysa horyaalka cashuur bixiyaha iyo kuwa dhacaya Ra yigaaga ka dhiibo hadii aad wax ka ogtahay xugta dhaqaale ee dalka Anigu waxan malaynaya horyaalka shirkadaha qaadka kuwa dhacaya D shil iyo Telesom,1,Positive-Wanaag
Jimca wanaagsan ilaahay haysku barkeeyo,1,Positive-Wanaag
Been leg waa madaxeynihii ugu kobo qaadka badnaa ee soomara dalkeena abid abi afawork ayuu yahay basaas dalka ujoogo ciidan soomaaliyeedna ka gatay abii,1,Positive-Wanaag
War ileen ninkii la dhihi jiray mahad salaad waa nin noocee ah xagee la egtahay bal qaadka loo sameyey xiligaan markii la gaaro way is bedeli jireen Waa sheeko kale,1,Positive-Wanaag
Kaliya qaadka jooji uun maaha Way ku mahadsantahay dawladu go aanka taxadarka leh ee ay ka qaadatatay qaadka Go aankaas si uu hirgalo wuxuu baahnaa in la fiiriyo oo isku mida maskaxda loogu hayo dhaqaalaha aynu ka helno iyo khatarta COVID19,1,Positive-Wanaag
Farmaajo Hhhh Ingiriiska ma joogno cawaale dhaqan iyo diinna uma lihin Happy birthday la dirirka qaadka waan kugu taageerna ee ha noo hoos galin dhaqamo aaanan aqoonin,1,Positive-Wanaag
Masha Allah,1,Positive-Wanaag
midka koowaad U codeynta Heshiiska Damaanad Qaadka Maalgashiga Darafyada badan iyo in ay mariyaa akhrinta 3 aad ee wax ka badelka Sharciga Duulista Rayidka ee Hawada Kulamadii ugu dambeeyay baarlamaanka Soomaaliyeed ayaa waxa la xisaabtan lagula sameeyay,1,Positive-Wanaag
Caqabad hor leh oo soo wajahday Ganacsatada Kenya ee Qaadka dhoofintiisa loo fasaxay,1,Positive-Wanaag
Aniga waxay ilatahay hadii la joojiyo diyaradaha imanaya qaadka automatic ah waa joogsan qaadko thanks all bbc,1,Positive-Wanaag
Mansha Allah Ha dhamado takoorku,1,Positive-Wanaag
Allah habarakyo reerkas cusub,1,Positive-Wanaag
Waxaan umadaa somaliyed aan kadig too naano waxayaabaha lidka kuah caagimaadaka umada somaliyed waxaanaka kacod sanayaa dowlada fadaraarka in ey dhamaanba ey kamam nuucdo dalka qaadka oo dhan,1,Positive-Wanaag
Kulan gaar ah oo ay Maanta yeesheen Guddiga arimaha Bulshada ee Golaha Shacabka ayaa waxa ay go aan deg deg ah ka soo saareen Jaadka Qaadka Kenya ka yimaada iyadoo Dowladda ugu baaqay inay si ku meel gaar ah joojiso qaadka maadaama dalkaasi lagu arkay Cudurka Caronavirus,1,Positive-Wanaag
Rer waqooyiga aad matasho ha ku dhiiradaan takorka kula jebiyaan adiga sidii lagu galayba waad ogayd marka Somaland ku takoortaad matashaa guul somalia ud83c uddf8 ud83c uddf4,1,Positive-Wanaag
Qaadka Miiroowga ah wali looma ogola in dalka la keeno Isfahamka labada dal waa mid ku eg soocelinta xiriirka diblomaasiyadeed Kala ganacsi iyo wax wada qabsi waxay ku iman karaan wadaxaajood iyo gorgortan ay ka dhalato dheef wadaag qalanta labada dal,1,Positive-Wanaag
Madaxweynaha Galmudug iyo Madaxweyne kuxigeenka waxay qabteen shaqo cajiib ah Galmudug la aantiis Amniga Qaadka ayaa horumarin doona dhaqaaluhuna wuxuu noqon doonaa mid barwaaqo ah abuuritaanka bulsho farxad iyo caafimaad qabta Joogtada ah,1,Positive-Wanaag
Masaajida io goobaha lagu cibaadaysto waa free oo wax lacag ah layskama qaado meesha ay maherada io kabadhada qaadka ay jaam yihiin iyadoo lacag layska qaado,1,Positive-Wanaag
Farmaajo Tallada waa mid wanaagsan oo wax ku ool ah Fadlan burburiyo buushashka Qaadka waa in iibsado dhamaan miisaska Qaadka lagu gadaayay oo dhan si ay LACAG loo siiyo amba lacag loogu celiyo masaakiinta ka ganacsiga ee Qaadka Fadlan billow,1,Positive-Wanaag
Daawo flim gaaban oo laga sameeyay qisadi Qadiid oo dhalinta rer qardhood isku abaabulen sidi flim cajiiba uga sameen lahayen qaadka iyo dhibatadiisa waxay midan yihiin dhalinta dhiirigalin,1,Positive-Wanaag
abdiwahaab Meqamka wuu ka siman yahay Misna kala damiir roon Dabcan waxana doonaya labka iyo dhaddiga markan Soomali weyn markan barno ragga Aamin san dumarkeena iney juura falka Loo tabcay barno iney san loo tabcane gabadhu xorriyad iney leedahay ayaan Amba qaadka toosan ka aamin sii,1,Positive-Wanaag
Hanbalyo hanbalyo hanbalyo,1,Positive-Wanaag
Midowga maxaakiimta markay joojiyeen qaadka dhibaatada hooyooyin iyo qoysas badan ay kala kulmeen waa la xasuusta,1,Positive-Wanaag
Hanbalyo Mid kamida Qoyska iyo lamaanaha ku soo biiray qoysaska islaamka Dhisma oo Dhaqma Farhiya Fiska iyo Mubaarak,1,Positive-Wanaag
Waxa Muse Bixi sheegayna hada Qaadka la joojinwaayo waxa meesha ka dhaca inu masuul ka noqondoono Weli Muse Bixi ma aaminsana in covid19 isu badalidoono yomal qiyaameh hadu meesha so galo 1,1,Positive-Wanaag
Somaliya somali baa leh kala qaadka iyo fara galinta hanaga daayo Hadaanu nahay qaran madax banaan,1,Positive-Wanaag
Maxamedow walahi saas hadda mskaxdeyda ku jirtay waxaan is iri horta geedka qaadka dhulkeenna ma lagu beeri karaa Wixii maba daynaynee aan lacagteenna caynsanno,1,Positive-Wanaag
mnsha allh,1,Positive-Wanaag
Farmaajo Madaxweyne shacabka soomaliyeed waa ku jecel yihiin laakin maalintaa qaadka furtaa waxaan Hubaa dad badan in ey ku nacayaan oo aan aniga kamid ahay waxaan kaa rajeynayaa adiga iyo dowladaada in qaadka dhan aad naga xirtaan si wadanka hormar gaaro kaliya haka fakirina taxes,1,Positive-Wanaag
Qaadka Miiroowga ah wali looma ogola in dalka la keeno Isfahamka labada dal waa mid ku eg soocelinta xiriirka diblomaasiyadeed Kala ganacsi iyo wax wada qabsi waxay ku iman karaan wadaxaajood iyo gorgortan ay ka dhalato dheef wadaag qalanta labada dal War cad soo maahan,1,Positive-Wanaag
Masuulkii balan qaada qaadka iyo alshabaab inuu nagaqabanayo codka shacabka heli lahaa doorashada xigta ee puntland insha Allah hadii ay noqoto vote oo wax qabadkiisa uu kudaro inuu qaadka joojinayo waxaan balan nagu aha hadaan nahay dhalinyarda inuu codkena helaa,1,Positive-Wanaag
Marwo C Mohamed Ameen Queen ud83d udc51 ud83d udc51 ud83d udc51 ud83d udc51 ud83d udc51,1,Positive-Wanaag
Wasaaradda Maaaliyadda ayaa ka Muhiimsan Wasaaradda Ganacsiga cida kaliya ee joojin karta qaadka waaa,1,Positive-Wanaag
Cusub Geesiyad inay noqoto gaashan qaadka iyo gacalo dadkeena gurmad ah inay noqto waan jeclaan lahaa Lkn xaqiqo wxn ogahay xajadan igu sawirta in anay dhafsisanayn Hadalkayga waxa badinayana wxy tahay hadimda aad ku halagsamaysan ayan ka gubanayaa wax dhacsii ayan isleyahay,1,Positive-Wanaag
fiska ud83d udc9c aktober,1,Positive-Wanaag
Maalin wanaagsan Mudane Madaxweyne Farmaajo Mudane Madaxweyne ma maqashay in Madaxweyne inuu ciidamadiisa ka mamnuucay isticmaalka Qaadka dhanka kalena uu doonayo in Soomaliya fasaxdo diyaaraha Qaadka dhanka kalena inuu dib idhigay kiiskii maxkamada ICJ,1,Positive-Wanaag
Naima inbti xaalka deji ,1,Positive-Wanaag
Aad iyo aad very energetic waaye qofla qaadka cuninm qaaddiid,1,Positive-Wanaag
Ali26 Waa layaab madaxweynuhu ma safar jacayl bay ka tahay daraad unbuu soo laabtaye 2 weeks later xukun is badalaya wuxuu kala heshiin iyo cid uu la heshiinba muu iska sugo 2da isbuuc doorashada ka dhiman heshiisyadii horey looga diiday buu saxiixayaa bn filayaa ee qaadka,1,Positive-Wanaag
Dad badan oo aan arkey face maska wejiga wey xiran yihiin lakiin salaam qaadka kama reebana COVID 19 kane si fudud ayuu kugu dhici karaa kaliya kugu ma filna xirashada face maska Prevention is better than cure,1,Positive-Wanaag
Alimadar Abdullaahi waaw ined show waad gabaydaa,1,Positive-Wanaag
Haddii ay WANAAG amp khayr umadda la rabaan Way xarimi lahaayeen qaadka,1,Positive-Wanaag
Gob waxaad ku tahay hodan garashad tus qaadka ah iyo garaad wacan oo aad leedahy,1,Positive-Wanaag
Barkhad midgaanaw sawdiga kiiyara khashifay dadku mabay ogayn in gabooye yahaye,1,Positive-Wanaag
Faysal Faras oo ka mida ganacsatada qaadka keena dalka oo balan qaaday inuu ugu horayn doono lacagta lagu soo iibinayo mishiinka shaybaadhka ee xanuunka Coronavirus,1,Positive-Wanaag
